Rank,Name,Twitter,URL,Twitter Points,Alexa Points,Social Authority Points,Net Influence Points
82,Nilofer Merchant,nilofer,nilofermerchant.com,2.8,0,6.4,3.7
83,Garry Golden,garrygolden,garrygolden.com,0.8,0,6.5,3.6
84,Heather Schlegel,heathervescent,www.heathervescent.com,0.9,0.7,6,3.6
85,Melissa Sterry,melissasterry,melissa-sterry.squarespace.com,0.7,0,6.5,3.6
86,Noreena Hertz,noreenahertz,www.noreena.com,1.7,0,6.3,3.6
87,John Winsor,jtwinsor,www.johnwinsor.com,1.5,3.9,3.5,3.6
88,Bronwyn Ruth Williams,bronwynwilliams,whatthefuturenow.com,0.7,0,6.4,3.6
89,Ian Pearson,timeguide,www.futurizon.com,0.7,0,6.4,3.5
90,Greg Verdino,gregverdino,gregverdino.com,1.1,2.9,4.2,3.5
91,David Brin,DavidBrin,davidbrin.blogspot.com.au,2.4,0,6.2,3.5
92,Juliana Rotich,afromusing,julia.na,3.3,0,6.1,3.5
93,Martin Ford,MFordFuture,econfuture.wordpress.com,2.5,0,6.1,3.5
94,Jerry Michalski,jerrymichalski,therexpedition.com,1.1,0,6.3,3.5
95,Karen Sands,KarenSands,www.karensands.com,0.9,1.9,4.9,3.5
96,Paul Saffo,psaffo,www.saffo.com,1.2,1.7,5,3.5
97,Elisabet Sahtouris,sahtouris,www.sahtouris.com,0.3,4.1,3.3,3.5
98,MadelineAshby,MadelineAshby,madelineashby.com,0.9,0,6.2,3.5
99,Chris Sanderson,Trendmeister,thefuturelaboratory.com,0.4,8.1,0.3,3.4
100,Helene Lavoix,HLavoix,www.redanalysis.org,0.6,1.3,5.3,3.4
101,Don Tapscott,dtapscott,dontapscott.com,3.8,0.1,5.7,3.4
102,Simone Cicero,meedabyte,meedabyte.com,1,0,6.1,3.4
103,Bill Chamberlin,horizonwatching,www.billchamberlin.com,0.5,0,6.1,3.4
104,Jennifer Sertl,JenniferSertl,jennifersertl.com,1.1,0,6,3.4
105,Kristina Dryža,KristinaDryza,www.kristinadryza.com,0.3,1.3,5.2,3.4
106,Christopher Kent,Cekent,foresightalliance.com,0.6,0.7,5.5,3.4
107,Elina Hiltunen,elinafuturist,www.whatsnext.fi,1.1,0,6,3.3
108,Noah Raford,nraford,news.noahraford.com,0.9,0.7,5.5,3.3
109,Mike Jackson,shapingtomorrow,www.shapingtomorrow.com,0.6,3.6,3.4,3.3
110,Jon Turney,jonWturney,jonturney.co.uk,0.7,0,5.9,3.3
111,Tanja Hichert,TanjaHichert,www.hichert.co.za,0.4,0,5.9,3.3
112,Cindy Frewen,Urbanverse,urbanverse.net,1.4,4.7,2.4,3.3
113,George Por,technoshaman,community-intelligence.com,0.7,0,5.9,3.3
114,Andrew Curry,nextwavefutures,thenextwavefutures.wordpress.com,0.7,0,5.8,3.3
115,Rick Smyre,COTFtransform,communitiesofthefuture.org,0.4,6.6,1,3.2
116,Hazel Henderson,ethicalmarkets,hazelhenderson.com,0,4.2,2.7,3.2
117,Rohit Talwar,fastfuture,fastfuture.com,1.2,2.3,4,3.2
118,John Smart,johnmsmart,accelerating.org,0.9,2.3,4,3.2
119,Rowena Morrow,prospective,pspl.com.au,0.5,0,5.7,3.2
120,Stephanie Pride,StephaniePride,stratedgy.co.nz,0.5,0,5.7,3.2
121,Estelle Metayer,Competia,competia.com,1.7,0,5.6,3.2
122,Karl Schroeder,KarlSchroeder,kschroeder.com,0.6,0,5.7,3.1
123,Simon Anderson,Futur1st,www.ventureforesight.com,0.4,0,5.7,3.1
124,Emile Hooge,ehooge,nova7.fr,1,0,5.6,3.1
125,Adam Jorlen,adamjorlen,adamjorlen.com,0.4,0,5.6,3.1
126,Emily Dalton,EmilyK_Dalton,www.emilykdalton.com,0.4,0,5.6,3.1
127,Mandar Apte,Mandarapte108,www.mandar-apte.com,0.3,0,5.5,3.1
128,Dr. James Canton,futureguru,www.globalfuturist.com,2.8,0,5.3,3
129,Peter Jones,redesign,designdialogues.com,0.8,0,5.4,3
130,Skeeve Stevens,skeevestevens,skeevestevens.com,0.5,0,5.4,3
131,Josh Calder,Geofutures,www.futureatlas.com,0.8,0,5.4,3
132,Riel Miller,RielM,www.rielmiller.com,0.6,0,5.4,3
133,Marcel Bullinga,futurecheck,futurecheck.nl,0,0,5.4,3
134,Salim Ismail,salimismail,www.salimismail.com,1.8,0,5.2,3
135,Tracey Follows,tracey_lou,www.anydaynow.co,0.1,0,5.4,3
136,Kristin Alford,kristinalford,bridge8.com.au,1.1,0,5.3,2.9
137,Massimo Barbato,MGBarbato,www.artificial-intelligence.org.uk,0.5,0,5.3,2.9
138,Ayesha Khanna,ayeshakhanna1,ayeshakhanna.com/home,1.2,1.6,4,2.9
139,Erica Orange,ErOrange,www.thefuturehunters.com,0.6,0,5.2,2.9
140,Kevin A. Barnes,KevinABarnes,kevinabarnes.com,0.4,0,5.2,2.9
141,Fabienne Goux-Baudiment,proGective,www.progective.com/en/progective,0.5,0,5.2,2.9
142,Byron Reese,byronreese,byronreese.com,0.7,0.7,4.6,2.9
143,Michael Garfield,Garf,michaelgarfield.net,0.6,0,5.2,2.9
144,Jim Mathews,jimmath,thefuturesnetwork.com,0.4,0,5.2,2.9
145,John Moravec,moravec,john.moravec.us,1,0,5.1,2.9
146,Ajit Jaokar,ajitjaokar,www.opengardensblog.futuretext.com,1.2,1.8,3.8,2.8
147,Brenda Cooper,brendacooper,brenda-cooper.com,0.7,0,5.1,2.8
148,Maree Conway,MareeConway,thinkingfutures.net,0.8,0,5,2.8
149,Anne Boysen,aftermillennial,afterthemillennials.com,0.5,0,5.1,2.8
150,Martin Börjesson,futuramb,www.futuramb.se,0.5,0,5.1,2.8
151,Jack Uldrich,jackuldrich,www.jackuldrich.com,0.7,0,5,2.8
152,Rebecca Ryan,ngcrebecca,www.nextgenerationconsulting.com,0.7,0,5,2.8
153,Robert Tercek,superplex,www.roberttercek.com,0.7,0,5,2.8
154,Jackie Kothbauer,JackieKothbauer,mediababeblogg.blogspot.com.au,0.5,0,4.9,2.7
155,René Schäfer,schfrrn,rawfutures.com,0.3,0,4.9,2.7
156,Dave Evans,DaveTheFuturist,www.stringify.com,1.3,0,4.8,2.7
157,Frank Spencer,frankspencer,www.kedgefutures.com,0.7,0,4.8,2.7
158,Rudy de Waele,mtrends,humanworks.design/rudy-de-waele/,1.4,0,4.7,2.7
159,Thornton A. May,deanitla,ww.thorntonamay.com,0,0,4.8,2.6
160,Thimon de Jong,thimon,www.whetston.com,0.5,0,4.7,2.6
161,Troed Sångberg,troed,blog.troed.se,0.3,0,4.7,2.6
162,Vito Di Bari,DiBariTweets,www.vitodibari.com,0.8,0,4.6,2.6
163,Bob Richards,Bob_Richards,robertdrichards.com,2.5,0,4.4,2.6
164,Paul Higgins,futuristpaul,www.emergentfutures.com,1.1,0,4.5,2.5
165,George Dvorsky,dvorsky,sentientdevelopments.com,1.1,0,4.5,2.5
166,Katie Aquino,missmetaverse,futuristmm.com,0.9,0,4.5,2.5
167,Amy Webb,webbmedia,amywebb.io,0.2,6.1,0.1,2.5
168,William Eggers,wdeggers,williameggers.com,1,0,4.4,2.5
169,Venessa Miemis,VenessaMiemis,emergentbydesign.com,1.1,1.3,3.5,2.5
170,Jody Turner,CultureofFuture,www.cultureoffuture.com,0.5,0,4.4,2.4
171,Morgaine Gaye,morgainegaye,morgainegaye.com,0,0,4.3,2.3
172,Jennifer Jarratt,jenjarratt,leadingfuturists.biz,0.8,0,4.2,2.3
173,Dave Coplin,dcoplin,theenvisioners.com,1.1,0,4.1,2.3
174,Maria Konovalenko,mkonovalenko,mariakonovalenko.wordpress.com,1,0,4.1,2.3
175,Hercules Fisherman,herx,herx.org,0.8,0,4,2.2
176,John Seely Brown,jseelybrown,johnseelybrown.com,1.6,0,3.9,2.2
177,Carmen Villadar,digitalfemme,digitalfem.me,1,0,4,2.2
178,Joanne Pranksy,roboshrink,www.robot.md/wordpress,0.3,0,4,2.2
179,Tim Longhurst,TimLonghurst,www.timlonghurst.com,0.9,0,3.9,2.2
180,Amy Zalman,StratNarrative,strategic-narrative.net,0,0,4,2.2
181,Morris Miselowski,MrFuture,BusinessFuturist.com,0.1,0,4,2.2
182,Christoph Möller,_trendspotter,future-trends.co,0.5,0,3.9,2.2
183,Brian Vellmure,brianvellmure,www.brianvellmure.com,1.2,0,3.6,2
184,Verne Wheelwright,urfuturist,www.personalfutures.net,0.5,2.2,2,2
185,Tony Bosma,tonybosma,www.extendlimits.org,0.9,0,3.4,1.9
186,Jonathan MacDonald,jmacdonald,jonathanmacdonald.com,2.8,0,3.2,1.9
187,Graeme Codrington,FuturistGraeme,graemecodrington.com,1.3,0,3.3,1.9
188,Christophe Pelletier,foodfuturist,hfgfoodfuturist.com,0,0,3.3,1.8
189,Rebecca Costa,rebeccacosta,www.rebeccacosta.com,1.5,0,3.1,1.8
190,Roman Retzbach,FutureInstitute,www.future.institute,0.4,0,3.1,1.7
191,GregoryJRader,GregoryJRader,OnTheSpiral.com,0.3,0,3.1,1.7
192,Jean Houston,JeanHouston,www.jeanhouston.org,1.8,0,2.9,1.7
193,Alex Lightman,lxlightman,alexlightman.com,0.6,0,2.9,1.6
194,Nancy Giordano,nancy,playbiginc.com/who-dynamic-team.php,1.1,0,2.8,1.6
195,Francisco José Mojica,futurprospicere,www.franciscomojica.com,0.3,0,2.7,1.5
196,Shara Evans,shara,marketclarity.com.au/about-us/the-team,0.3,0,2.6,1.5
197,Dr. Jay Gary,drjaygary,jaygary.com,0.4,0,2.5,1.4
198,Domenico Zungri,DomenicoZungri,domenicozungri.altervista.org,0.4,0,2.4,1.4
199,Craig Rispin,craigrispin,www.futuretrendsgroup.com,0.5,0,2.4,1.3
