,name,account
173,Toby Trevarthen,@tobinw
174,Peter F Gallagher,@peterfgallagher
175,Guy Kawasaki,@GuyKawasaki
176,Ben Horowitz,@bhorowitz
177,Chris Brogan,@chrisbrogan
178,Mari Smith,@MariSmith
179,Keith Keller,@KeithKeller
180,Elise Quevedo,@EliseQuevedo
181,Kirk Borne,@KirkDBorne
182,Dr,@gp_pulipaka
183,Franco Ronconi,@FrRonconi
184,Dev Khanna,@CurieuxExplorer
185,Tansu YEńěEN,@TansuYegen
186,Mario Pawlowski,@PawlowskiMario
187,Evan Kirstel,@EvanKirstel
188,Dr,@Khulood_Almani
189,Chidambara,@chidambara09
190,Jean-Baptiste,@jblefevre60
191,Jim Harris,@JimHarris
192,Pascal Bornet,@pascal_bornet
193,Lex Fridman,@lexfridman
194,Philip Vollet,@philipvollet
195,Yann LeCun,@ylecun
196,Andrej Karpathy,@karpathy
197,Mark Tenenholtz,@marktenenholtz
198,Iain Brown,@IainLJBrown
199,Terence Mills,@terence_mills
200,Francesca Rossi,@frossi_t
201,Pinna Pierre,@pierrepinna
202,Rob McCargow,@RobMcCargow
203,Patrick Mineault,@neuromatch.social
204,Patrick Mineault,@patrickmineault
205,Pieter Abbeel,@pabbeel
206,Rachel Thomas,@math_rachel
207,Vinod Khosla,@vkhosla
208,Michael Anti,@mranti
209,Reid Hoffman,@reidhoffman
210,Pedro Domingos,@pmddomingos
211,Gary Marcus,@GaryMarcus
212,Murat Durmus,@CEO_AISOMA
213,Oriol Vinyals,@OriolVinyalsML
214,Alvin Foo,@alvinfoo
215,Soumith Chintala,@soumithchintala
216,abhishek,@abhi1thakur
217,Mike Tamir,@MikeTamir
218,Sebastian Raschka,@rasbt
219,Cassie Kozyrkov,@quaesita
220,Greg Brockman,@gdb
221,Warren Buffett,@WarrenBuffett
222,Future Today Institute,@FTI
223,World Economic Forum,@wef
224,Tech Crunch,@TechCrunch
225,GF2045,@2045initiative
226,Future Timeline,@future_timeline
227,Foresight Alliance,@ForesightAlianz
228,Humanity Plus,@HumanityPlus
229,APF,@profuturists
230,Nieman Lab,@NiemanLab
231,Museum of the Future,@MOTF
232,BBC Future,@BBC_Future
233,Future,@future
234,NASA,@NASA
235,Good Judgment Inc,@superforecaster
236,Digiworld-Institute,@DigiworldInst
237,Big Data Analytics AI Data Science,@BigDataBRA
