Topic,Count,Name,Representation,Representative_Docs
0,27103,0_environment_forum_economic_climatechange,"['environment', 'forum', 'economic', 'climatechange', 'energy', 'sustainability', 'world', 'climate', 'wef', 'pollution']","['These #Solar powered cold rooms are reducing food waste in Kenya.  (World Economic Forum) #Energy #Reduce #Waste #Environment https://t.co/oNCOyuHrP8', '7 foods you can eat to save the planet.  (World Economic Forum) #Sustainability #Environment @wef https://t.co/pkmSfDQAZV', 'The world just smashed 8 extreme climate records in a bad way.  (World Economic Forum) #ClimateChange #Environment https://t.co/xIr1m3zJX2', 'The City of Sydney now runs on 100% wind and solar power. (World Economic Forum) #SmartCities #Environment #Green #Energy https://t.co/7EWzJnQkPu', '5 positive actions the world has taken to fight #ClimateChange. (World Economic Forum) #Environment @wef https://t.co/0HgvThr3VW', 'The  world s way off track when it comes to its climate goals.  (World Economic Forum) #ClimateChange #Environment https://t.co/XSo5SnKB56', ""The world's most powerful tidal #Energy turbine can now power over 2,000 homes.  (World Economic Forum) #Energy #GreenEnergy #Environment #Sustainability https://t.co/kpjt8IYjZP"", ""The world's most powerful tidal #Energy turbine can now power over 2,000 homes.  (World Economic Forum) #Energy #GreenEnergy #Environment #Sustainability https://t.co/kpjt8IYjZP"", ""The World's first green steel could help save the planet!  (World Economic Forum) #GreenEnergy #Manufacturing #Sustainability #Environment @wef https://t.co/esMd5KCA3I"", ""The World's first green steel could help save the planet!  (World Economic Forum) #GreenEnergy #Manufacturing #Sustainability #Environment @wef https://t.co/esMd5KCA3I""]"
1,19628,1_yes_profgalloway_elonmusk_thanks,"['yes', 'profgalloway', 'elonmusk', 'thanks', 'mypov', 'drjdrooghaag', 'alaricaloor', 'thank', 'urvashiprakash', 'fogleshane']","['@AlaricAloor @hessiejones @MiaD @roxananasoi @ChrisGGarrod OUCH.', '@nadina_tech MyPOV: @Flowbee_shop may be the way to go', '@roxananasoi @MiaD @AlaricAloor @psb_dc 😄', '@vGazza @UrvashiPrakash @fogle_shane @DrJDrooghaag @AlaricAloor ARGH. I was hoping they fixed it w/ the last race.\n*sigh*', '@tiersky @gigadgets_ @maxjcm @pascal_bornet @marcusborba Thank you for sharing your point of view', '@barbmaclean @data_nerd @hessiejones @Uday_Akkaraju @AlaricAloor @SpirosMargaris oh ....', '@vGazza @f1miami @AlaricAloor @UrvashiPrakash @DrJDrooghaag @rettori They just said this is a ""A race to survive"" 😆', '@fogle_shane @AlaricAloor @vGazza @MiaD @pierrepinna Thank you Shane!!', '@AlaricAloor @MiaD @hessiejones @roxananasoi @DrJDrooghaag @pierrepinna What the ?!😡', '@DrJDrooghaag @roxananasoi @MiaD @hessiejones @AlaricAloor 😁😉']"
2,13349,2_cybersecurity_privacy_security_cyber,"['cybersecurity', 'privacy', 'security', 'cyber', 'cyberattack', 'cyberwar', 'cybercrime', 'hackers', 'data', 'ukraine']","['#Infographic: An Easy To Do list #CISO\nVia @ingliguori #infosec #CyberSecurity #Threats #CyberAttack #CyberSec #DigitalTransformation #cybercrime #CyberResilience #dataprotection #infosecurity #DEVCommunity @antgrasso @YuHelenYu @Lago72 @mvollmer1 @AkwyZ @Eli_Krumova https://t.co/U4cwjU7x0M', 'The weakest link in security\n\n#security #privacy #cybersecurity', '#infographic: Stages of #Ransomware Infection\nVia @ingliguori\n#Hacking #CyberAttack #cybersecurity #CyberSecurityAwareness #CyberSec #Security #Hackers #dataprivacy #ethicalhacking #dataprotection #cyber #cyberattacks #cybercrime #CISO #cloudsecurity #infosec #DataBreaches https://t.co/GWMgmUfuIk', '#Infographic: 8 #Security Tips While Using #DigitalWallet\nv @ingliguori\n#Hacking #CyberAttack #CyberSecurity #CyberSecurityAwareness #CyberSec #Hackers #ethicalhacking #dataprotection #cyber #cyberattacks #cybercrime #CISO #cloudsecurity #Ransomware #infosec #DataBreaches #Crypto https://t.co/3GV51WpPQF', '🔟 Steps to #Cybersecurity \n\nInfo. via @ingliguori shows many #cyberthreats. Protect #data, #privacy &amp; #assets. #Security #bigdata #cloud #CyberAttack #100DaysOfCode #MachineLearning #Phishing #Infosec #jobs @cybersecboardrm @fogle_shane @Shirastweet @archonsec @DigitalColmer https://t.co/83v9qq9CUD', 'Thanks for sharing this list! #CyberSecurity', '#Infographic: Types of #CyberSecurity Attacks\nVia @ingliguori\n#Hacking #CyberAttack #CyberSecurityAwareness #CyberSec #Security #Hackers #dataprivacy #ethicalhacking #dataprotection #cyber #cyberattacks #cybercrime #CISO #cloudsecurity #Ransomware #infosec #DataBreaches https://t.co/zM15xWcVSL', '#Infographic Strategic Paths to Cybersecurity by \u2066@ChuckDBrooks\u2069 \nVia @ingliguori #cybersecurity #DigitalTransformation #infosec #cyberattacks #datasecurity #databreach #Hackers #cyberattack #Hacking #Threat #dataprivacy #DDoS #cyber #Ransomware #malware @antgrasso @avrohomg https://t.co/74Rj0JT98Z', '#Infographic: 10 Elements of Business #CyberSecurity via @ingliguori #DigitalTransformation #Security #infosec #cyberattacks #datasecurity #databreach #Hackers #cyberattack #Hacking #Threat #dataprivacy #Ransomware #malware @antgrasso @avrohomg @ChuckDBrooks @digitalcloudgal https://t.co/SRiIvmsJnp', '#cybersecurity']"
3,16097,3_mathematics_art_source_beauty,"['mathematics', 'art', 'source', 'beauty', 'symmetry', 'fractal', 'universe', 'video', 'image', 'book']","['Mathematics, symmetry, beauty.\n\nPersian carpet. https://t.co/aVIZMIPA1o', 'Mathematics and beauty.\n\nImagine this as you drift off to sleep tonight.  Geometry, symmetry, transcendence.  Persian carpet.  https://t.co/2E6z7NzyvO', 'Mathematics and beauty.\n\nExplosion in the symmetry factory. https://t.co/TCMdpHvhhE', 'Mathematics and beauty.\n\nExplosion in the symmetry factory. https://t.co/xcjkgEXv10', 'Mathematics and beauty.\n\nExplosion in the symmetry factory. https://t.co/VKa8psCTvV', 'Mathematics, geometry, beauty.\n\nExplosion in the symmetry factory.  Dreams and semi-crystalline realities. https://t.co/v8Zk2uRR7t', 'Mathematics and beauty.\n\nExplosion in the five-fold symmetry factory.   (Select image to see more of the visualization in the vertical direction.) https://t.co/pimMBjqui9', '@timeguide That’s not bad art. That’s amateur (pure) art.', 'Mathematics, symmetry, computer programming, beauty.\n\nThis attractive 3D object is by @HedronApp, a continuing source of beauty and geometry.  Source: https://t.co/5UGSPH2YGD https://t.co/aqVhaDJp6N', 'Mathematics and beauty.\n\nExplosion in the symmetry factory. https://t.co/Vo2w1mANyo']"
4,13914,4_year_time_mypov_just,"['year', 'time', 'mypov', 'just', 'event', 'years', 'days', 'hours', 'weather', 'march']","['One hour until the 6pm ET live broadcast for #DARTMission’s impact into an asteroid! The autonomous system on the spacecraft is operating on its own as DART approaches with no human intervention. Tune in to watch the impact live from mission control: https://t.co/VAfF5ZXcYB', '@JFPuget @GaelVaroquaux @apachaves @jeremyphoward &gt; rank correlation is useful to rank models, but not to evaluate model performance on new data.\n\nOf course. I suggested multiple independent test sets for evaluation earlier. The plot was just to show that using a test set seems not that bad for model selection though', 'As an American who lives in Toronto, whose entire family &amp; all my kids cousins live back in the states, I’m just hoping something like this will enable our family to travel back &amp; forth across the border ...', ""18. So we need to give some more time ... Let's check back in 6 months, a year ..."", 'Earliest possible launch of @NASA_SLS rocket would be Feb. 12, 2022 at 5:56 p.m. EDT. That would be Artemis I, an uncrewed mission to the Moon and back.', '3. If all goes well this fall and winter up north, I think many. will return, and many more will stay put...', 'And now it’s up…like the weather', 'MyPOV: and now for part of', ""UPDATE: Today's #Artemis mission management team is still underway. The briefing will go live once the meeting has concluded, no earlier than 5:30pm ET (20:30 UTC)."", 'MyPOV: about time.']"
5,16262,5_million_money_billion_investment,"['million', 'money', 'billion', 'investment', 'bank', 'china', 'market', 'financial', 'economy', 'investors']","[""A price is not a property of a product, it's a property of a transaction. Remember that when you look at, e.g., the stock market."", ""@NoraBateson @normonics You can't stop accumulation in a free market based society premises on private property I guess. On the other hand the nature of bitcoin supply curve and feature imho generates  commoditization over the long term. Of course in the short term someone gets rich"", ""If it's true that Open Banking will evolve toward Open Finance, then we will no longer have limits for wanting the Open Economy. The world of finance could be the forerunner of silo destroyers.\n\nMicroblog &amp; social design &gt;&gt; @antgrasso via @LindaGrass0 #finserv #fintech #inclusion https://t.co/oGUiVHxHdS"", 'that markets going to market', '15.  Just three city-regions—the San Francisco Bay Area, Los Angeles, and New York—account\nfor nearly two-thirds of all global venture capital investment in Creator Economy startups. But such startups can also be found in more than 65 other\ncities around the world.', 'Deutsche bank makes so much off of their money laundering operation that this fine is peanuts to them. They just view it as the cost of doing business.', 'their best to add another $3.5 TRILLION to federal spending. They failed, but if they had succeeded, inflation would be even higher than it is today, and inflation today is at a 40 year high.', '@efipm @Shi4Tech @globaliqx @SophieGuibaud @leimer @dgwbirch @AkwyZ @insurtechforum @0xArunk @TheRudinGroup @RAlexJimenez @FinMKTG @JimMarous @nigelwalsh @AlexH_Johnson @immad @NorthstarCharts @mikulaja @Hana_ElSayyed “Traditional Asset” based coins or digital currencies have huge issue of volume which stems from so many other factors, like the management team, the country the entity is based in and their filings with regulators etc.\n\nVolume in some of these coins make them look like a joke!', ""Remember: you can vote with your dollars. Don't like a company's response to the last week? Last four years? Huh. Find their competitor. Here's your money!\n\nBuy from black women. Buy from lgbtq. Buy from people just like you."", '5. Denver - $6 billion\nAustin -$4.9 billion\nMiami - $4 billion with significant 300+% growth\nAtlanta - $4 billion']"
6,21827,6_machinelearning_datascience_datascientists_deeplearning,"['machinelearning', 'datascience', 'datascientists', 'deeplearning', 'bigdata', 'algorithms', 'statistics', 'ai', 'abdsc', 'python']","['@HaroldSinnott @stanley_h_chan @KirkDBorne @ipfconline1 @Analytics_699 @BetaMoroney @CurieuxExplorer @dscottdegeest @mikeflache @HarbRimah @HamidTaebi @sebbourguignon Thank you dear Harold @HaroldSinnott for sharing this excellent reference"" Introduction to #Probability for Data Science"". #HappySunday \n\n#StatisticalLiteracy #Mathematics #AI #BigData #MachineLearning #DataScience #DataScientists #DataLiteracy #Statistics', '14 Best Free Online #DataScience with #Python Courses — compiled by @tut_ml \n—————\n#BigData #Analytics #MachineLearning #DeepLearning #AI #Coding #Algorithms #DataScientists #BeDataBrilliant #DataLiteracy #Careers #100DaysOfCode\nhttps://t.co/HWYFr9FlEx', '100 #MachineLearning Algorithms &amp; Models Explained with #Python.\n—————\n#BigData #DataScience #DataScientists #DeepLearning #NeuralNetworks #AI #coding #Algorithms #Mathematics #Statistics #100DaysOfCode #DataLiteracy #BeDataBrilliant\nhttps://t.co/sadYiobc5F', 'FREE 185-page Comprehensive Guide to #MachineLearning for #DataScientists → download here: https://t.co/rEvJ7hNalv\n——————\n#BigData #DataScience #AI #AppliedMathematics #DataMining #Mathematics #Algorithms #NeuralNetworks #DeepLearning #LinearAlgebra #Statistics #Calculus #abdsc', 'DOWNLOAD *UPDATED* VERSION OF THE FREE PDF ”Comprehensive Guide to #MachineLearning for #DataScientists” at https://t.co/PKgqMZC1zt\n——————\n#BigData #DataScience #AI #DataMining #Mathematics #Algorithms #NeuralNetworks #DeepLearning #LinearAlgebra #Statistics #Calculus', '100 #MachineLearning Algorithms &amp; Models Explained with #Python\n—————\n#BigData #DataScience #DataScientists #DeepLearning #NeuralNetworks #AI #coding #Algorithms #Mathematics #Statistics #100DaysOfCode #DataLiteracy #BeDataBrilliant\nhttps://t.co/sadYiobc5F', '14 Best Free Online #DataScience with #Python Courses — compiled by @tut_ml \n—————\n#BigData #Analytics #MachineLearning #DeepLearning #AI #Coding #Algorithms #DataScientists #BeDataBrilliant #DataLiteracy #Careers #100DaysOfCode\nhttps://t.co/HWYFr9WoGx', '100+ Free #MachineLearning PDF Downloads — Best #AI &amp; #ML eBooks — compiled via @TheInsaneApp \n—————\n#BigData #DataScience #DeepLearning #Mathematics #DataScientists #Python #NeuralNetworks #Statistics #DataMining #Algorithms #ComputerVision #100DaysOfCode\nhttps://t.co/bAVW2RhylQ', '100+ Free #DataScience eBooks (downloadable PDF) for Beginners and Experts — via @TheInsaneApp\n————\n#100DaysOfCode #BigData #AI #MachineLearning #DeepLearning #Statistics #DataScientists #Python #DataMining #DataLiteracy #Rstats #DataViz #NLProc #Analytics\nhttps://t.co/TtASTAWfYG', 'Inside machine learning for #DataScientists (#Infographic via @ingliguori @Calsoft_Data)\n—————\n#DataScience #Coding #Analytics #BigData #AI #Python #DataScience #ML #MachineLearning #DeepLearning #Statistics #Mathematics https://t.co/QTGFfqLw7L']"
7,13835,7_peopleskillschat_people_work_rt,"['peopleskillschat', 'people', 'work', 'rt', 'help', 'skills', 'empathy', 'leadership', 'culture', 'workplace']","[""A9. People skills for leading purpose:   Respect for diverse views that help you see what you haven't seen.  #PeopleSkillsChat"", 'Q10. What can people skills do in bringing people with different traditions together? #PeopleSkillsChat', 'Q4. How does fear impact relationships A) at work and B) in everyday life?  #PeopleSkillsChat', ""I wonder if people see people skills as a way to manage stress.    That's what we explore today.  JOIN us now in global #PeopleSkillsChat and share your views!"", '&gt;&gt; Q9. What people skills help us to be more open, if any? #PeopleSkillsChat', 'RT @PeopleSkill Q10. What people skills do you find most valuable when dealing with difficult behaviors and rigid beliefs? #PeopleSkillsChat //  #Leadership #Teamwork', 'RT @PeopleSkill: Q9. What are some of the key attitudes and beliefs that generally help us address difficult behaviors of other people?  #PeopleSkillsChat', 'RT @PeopleSkill  Q7. How have people made a difference in your life? Actions? Examples? #PeopleSkillsChat', ""RT @PeopleSkill: Q2. How is adding value to each other's lives part of people skills? #PeopleSkillsChat"", 'RT @JKatzaman: A5 A caring workplace culture starts with communication so you know what people care about and can meet their needs without being asked to. #PeopleSkillsChat']"
8,19096,8_happy_womenshistorymonth_wordle_year,"['happy', 'womenshistorymonth', 'wordle', 'year', 'celebrate', 'women', '100', 'sundayvibes', 'day', 'time']","['Breakfast this morning.  Yummy.  Merry Christmas, happy holidays,  and happy days to everyone.  #cx https://t.co/4tPNdKraUh', 'Wishing a Happy Easter to all those celebrating! May today remind us of the power of renewal, kindness, and our shared humanity. 🌷', 'Looks like Santa came last night! I hope you’ve been good. Thanks for following and a Merry Christmas to all! 🎄🎁', 'Today is a good day.', ""Wishing you a happy and prosperous new year! May this year be filled with joy, success, and new opportunities in both your personal and professional life. Here's to a fresh start and making the most of every moment. Happy New Year! 🎉🎊 #HappyNewYear #NewYear #HappyNewYear2023"", 'Happy #Thanksgiving to all who are celebrating today! I hope you all have a fantastic day filled with family and friends, good food, and gratitude.', 'MyPOV: happy new year!!!!', ""I'm so happy to see this. 😂👏😂👏😂👏🤸🤸🤸"", 'Happy Holidays! Merry Christmas!!! 🎄🎅\n\nDazzling holiday drone light show! #HappyHolidays \n\nThanks to @FireflyDrones &amp; @doner_agency \n\n#CES2022 #Christmas #Xmas #HappyHolidays #drone #drones #sundayvibes #SundayMorning #SundayThoughts #SundayMotivation \nhttps://t.co/pDf4arpzxA', 'See you next year…✌🏻🥂']"
9,10368,9_remotework_remote_working_futureofwork,"['remotework', 'remote', 'working', 'futureofwork', 'work', 'home', 'office', 'collaboration', 'teams', 'employees']","['Spread the open source love! \n\nIf you know an amazing project drop me a message @philipvollet', 'Spread the open source love! \n\nIf you know an amazing project drop me a message @philipvollet', 'Rotfl #WorkFromHome #remotework #remoteworking', 'The Remote-Work Revolution Will Be Bigger Than We Think https://t.co/ov3XG50Uk3 #remotework #workingfromhome #remoteworking #wfh #futureofwork', 'Next level of #remotework - will working from home 🏡 (#WFH) be the new standard for the #futureofwork? “We believe that how people work is far more important than where they work from“ \n\n#Metaverse #Leadership #motivation #5G \n\nhttps://t.co/AmMT7yOb8L @WSJ \n\n🙏 @SpirosMargaris', 'Remote or in office? The debate continues.\n\n#RemoteWork #FutureOfWork #Hybridwork \n\nhttps://t.co/H0m9r1hTw0 via @techcrunch @nmasc_', 'Return to office work: Apple’s machine learning director resigns https://t.co/E7NAJNN982 #remotework #remoteworking #workfromhome #hybrid #hybridwork #remote #WFH #Apple #TechNews #futureofwork', 'Was just interviewed by a journalist re: #hybridwork. \n\nThe big issues in 2021:\n\na) Maximizing inclusion + equity between in-office + #remotework\n\nb) Preserve #productivity dividend of remote work\n\nc) How to sustain long-term engagement of remote workers\n\nd) Handle new outbreaks. https://t.co/rhtVu5ugfO', '#remoteworking #remotework', ""Remote work is now the hottest 'city' for high-paying jobs \n\n“This is really the biggest shift in how we work since the invention of the automobile.”\n\nhttps://t.co/VjjsKDOzau #remotework #workingfromhome #WorkFromHome #remote #futureofwork @chris_herd""]"
