,user,topics,cnt
197,adrianswinscoe,75,22
198,adrianswinscoe,76,9
199,adrianswinscoe,77,21
200,adrianswinscoe,79,2
201,adrianswinscoe,80,127
202,adrianswinscoe,81,11
203,adrianswinscoe,82,38
204,adrianswinscoe,83,4
205,adrianswinscoe,84,13
206,adrianswinscoe,85,22
207,adrianswinscoe,86,1
208,adrianswinscoe,87,7
209,adrianswinscoe,89,10
210,adrianswinscoe,90,6
211,adrianswinscoe,93,1
212,adrianswinscoe,94,25
213,adrianswinscoe,95,40
214,adrianswinscoe,96,7
215,adrianswinscoe,97,9
216,adrianswinscoe,98,52
217,adrianswinscoe,99,1
218,afromusing,0,1
219,afromusing,1,19
220,afromusing,2,1
221,afromusing,3,20
222,afromusing,4,19
223,afromusing,5,6
224,afromusing,7,4
225,afromusing,8,8
226,afromusing,9,3
227,afromusing,10,3
228,afromusing,12,2
229,afromusing,13,3
230,afromusing,16,4
231,afromusing,17,2
232,afromusing,18,1
233,afromusing,22,1
234,afromusing,25,22
235,afromusing,26,4
236,afromusing,28,5
237,afromusing,31,5
238,afromusing,32,5
239,afromusing,34,3
240,afromusing,37,3
241,afromusing,38,2
242,afromusing,41,2
243,afromusing,44,9
244,afromusing,45,7
245,afromusing,46,1
246,afromusing,47,4
247,afromusing,49,4
248,afromusing,50,1
249,afromusing,55,4
250,afromusing,57,3
251,afromusing,58,3
252,afromusing,59,14
253,afromusing,60,1
254,afromusing,61,1
255,afromusing,62,2
256,afromusing,63,19
257,afromusing,64,6
258,afromusing,65,2
259,afromusing,66,18
260,afromusing,67,3
261,afromusing,68,1
262,afromusing,69,1
263,afromusing,72,6
264,afromusing,73,3
265,afromusing,74,2
266,afromusing,75,6
267,afromusing,76,4
268,afromusing,77,6
269,afromusing,79,3
270,afromusing,80,1
271,afromusing,81,2
272,afromusing,82,5
273,afromusing,84,9
274,afromusing,85,17
275,afromusing,86,1
276,afromusing,87,7
277,afromusing,89,2
278,afromusing,90,6
279,afromusing,91,3
280,afromusing,93,7
281,afromusing,94,1
282,afromusing,95,5
283,afromusing,97,8
284,afromusing,98,2
285,afromusing,99,1
286,aftermillennial,1,1
287,aftermillennial,4,2
288,aftermillennial,5,5
289,aftermillennial,6,1
290,aftermillennial,7,1
291,aftermillennial,8,1
292,aftermillennial,9,1
293,aftermillennial,10,1
294,aftermillennial,12,10
295,aftermillennial,13,1
296,aftermillennial,16,6
297,aftermillennial,17,1
298,aftermillennial,18,4
299,aftermillennial,19,2
300,aftermillennial,25,5
301,aftermillennial,26,2
302,aftermillennial,28,2
303,aftermillennial,31,2
304,aftermillennial,32,1
305,aftermillennial,36,3
306,aftermillennial,38,2
307,aftermillennial,40,2
308,aftermillennial,41,2
309,aftermillennial,45,3
310,aftermillennial,53,1
311,aftermillennial,55,2
312,aftermillennial,56,1
313,aftermillennial,57,2
314,aftermillennial,58,2
315,aftermillennial,60,1
316,aftermillennial,61,2
317,aftermillennial,63,1
318,aftermillennial,65,1
319,aftermillennial,66,4
320,aftermillennial,67,1
321,aftermillennial,68,1
322,aftermillennial,69,3
323,aftermillennial,72,1
324,aftermillennial,77,2
325,aftermillennial,81,3
326,aftermillennial,82,2
327,aftermillennial,83,2
328,aftermillennial,84,4
329,aftermillennial,85,1
330,aftermillennial,86,1
331,aftermillennial,90,2
332,aftermillennial,92,1
333,ajassy,0,1
334,ajassy,1,1
335,ajassy,3,1
336,ajassy,4,7
337,ajassy,7,1
338,ajassy,10,2
339,ajassy,12,3
340,ajassy,14,1
341,ajassy,16,1
342,ajassy,25,9
343,ajassy,26,4
344,ajassy,27,1
345,ajassy,28,1
346,ajassy,29,1
347,ajassy,30,2
348,ajassy,31,2
349,ajassy,32,2
350,ajassy,34,1
351,ajassy,37,1
352,ajassy,38,3
353,ajassy,43,1
354,ajassy,44,7
355,ajassy,47,4
356,ajassy,49,8
357,ajassy,52,1
358,ajassy,56,2
359,ajassy,60,1
360,ajassy,61,1
361,ajassy,64,1
362,ajassy,65,5
363,ajassy,66,10
364,ajassy,71,1
365,ajassy,74,3
366,ajassy,76,1
367,ajassy,77,9
368,ajassy,78,1
369,ajassy,80,1
370,ajassy,81,2
371,ajassy,82,8
