Topic,sadness,disgust,pessimism,anger,anticipation,joy,fear,optimism,surprise,trust,love
0,0.08975560461711045,0.11275724323452468,0.06292947845760488,0.10407637663058662,0.4382067593336529,0.4950144707354689,0.09311176169545908,0.6701119002107878,0.04826663056641679,0.16768847928058317,0.03928064940641017
1,0.09415314361830368,0.08643344326855511,0.03834244358065398,0.06984452081188043,0.301083152119768,0.5718771542531558,0.0373275189135043,0.41836164092223893,0.06965022631871527,0.09351557844459324,0.13889152022006726
2,0.0725723827534798,0.283825016864963,0.06820439300798808,0.2589685852241076,0.40428792797135066,0.13774864851396718,0.4812835194775008,0.21451782996567642,0.07304949618480261,0.0642351567830255,0.010925737055519752
3,0.05913923735329807,0.04991626756355669,0.027036970123778706,0.03794141134125164,0.42965704825504686,0.7099619000105698,0.04109949933941474,0.4847821952808562,0.10903542933076311,0.11334459990993834,0.1428794136061858
4,0.15089518757425496,0.2143961250850219,0.08261286896338615,0.17929856447072987,0.4822659585432163,0.3712800225417403,0.12740984608356187,0.3443351307635801,0.11556076083521857,0.09172944534113554,0.03349139158751463
5,0.14876709234276073,0.28760040412304066,0.09022703268887095,0.2569051590386644,0.46518230205556405,0.2816001651993744,0.10572194797606824,0.3196678485685785,0.09312392114040828,0.08290479759596468,0.0181842313455463
6,0.024934889775168237,0.043534745555469184,0.02287207399061222,0.038699015519684264,0.6546640023746154,0.5848831299437406,0.027465070103781013,0.4854154462787247,0.10670167527325343,0.15661437758886093,0.038607930338746904
7,0.14077094533158596,0.13005153073935646,0.09289790714643613,0.1341317757411298,0.33996915616752077,0.4276586036651217,0.07819333899802221,0.7266414859369168,0.03486331227364407,0.20861475189651635,0.06367702428909523
8,0.10227355194713778,0.08551163128495726,0.03640376385833926,0.07206622331747174,0.254795714287742,0.6967131927664115,0.046710648916011725,0.44736027892101143,0.07991688643880349,0.08394022493870318,0.2013569356779675
9,0.09211136443416673,0.09148989061770722,0.06586543774203703,0.07112219703320775,0.5553792923741706,0.4698915758520871,0.08792527975149117,0.5826784488698324,0.0769545470701601,0.1595312513745739,0.05495460344501888
10,0.11348619762868765,0.12551387864638508,0.08762930410365821,0.09843445500793328,0.547675645069049,0.3392635564154856,0.14891992905664098,0.5331306920258893,0.07310196138086401,0.14317236810688977,0.025376523074250045
11,0.025367471943990704,0.058117343177852825,0.026034943027728373,0.052573249475487985,0.6519668848409699,0.5537225993850918,0.052224835176536165,0.48702534762979194,0.12406451925389012,0.15318331153576165,0.03293081359884888
12,0.21717781183377127,0.25477888197316234,0.1365492198571489,0.23750849432961257,0.3452845632068788,0.265741160651404,0.1635366996186275,0.48908060682014887,0.051014522358419245,0.11024044893709145,0.03223585965799149
13,0.18575180197636387,0.19282883219974947,0.0778626903620284,0.17080104632346216,0.2645228884162622,0.406189873924181,0.06982575250357013,0.3490081379794276,0.06961874496232887,0.07246511794162874,0.07745942983700752
14,0.024193750599326717,0.032959497946772394,0.02411783354682684,0.03381919123870448,0.5733493718719184,0.6556655848687539,0.04024917708226359,0.7146583733332352,0.07256420469382514,0.21353071964776518,0.048579884292765683
15,0.02582782560683683,0.041095209039083674,0.027158309279033094,0.03594916417078049,0.6492140010827402,0.5621161028500906,0.06806993726681801,0.562847903037347,0.09816261764664808,0.16695282121557653,0.0332618546572315
16,0.140850341027066,0.178080068630049,0.08100426952569985,0.17329887329630492,0.3764340677500016,0.40744132835668,0.06036294547179923,0.5649560469450029,0.060149217933109414,0.1366409281322056,0.05928288741345945
17,0.07885178181040471,0.11132124685416638,0.04403016302526394,0.1003819732860574,0.41699066870437257,0.5905367109152446,0.04438712908243856,0.5391294343853099,0.07953163055420773,0.13790990184250718,0.1258683614136274
18,0.1558373562949112,0.48568547671756757,0.09071819639866235,0.47291105049071525,0.34890771597010684,0.13700273015767192,0.22624210797855637,0.16348146642488262,0.08563562112687612,0.04347280279461752,0.010794202138370693
19,0.08247632019000135,0.19803022010268148,0.07233397898649846,0.18261834684298708,0.5075111663033325,0.29912618098480764,0.25499434358243095,0.4467434440912297,0.07308789735644058,0.12701783851488302,0.021419778205503337
20,0.03407012129979203,0.06701054516726761,0.037367459775869964,0.061937472380485074,0.6878173751381064,0.4592954442293023,0.06442447770531765,0.5438703270734542,0.10942195779135558,0.18215565140623494,0.02713057659733732
